Gene	ECKnum
fucP	ECK2796
fucR	ECK2800
fucU	ECK2799
fumA	ECK1607
fumB	ECK4115
fumC	ECK1606
fur	ECK0671
fusA	ECK3327
fxsA	ECK4134
gabD	ECK2655
gabP	ECK2657
gabT	ECK2656
gadA	ECK3502
gadB	ECK1487
gadC	ECK1486
gadE	ECK3496
gadW	ECK3499
gadX	ECK3501
galE	ECK0748
galF	ECK2036
galK	ECK0746
galM	ECK0745
galP	ECK2938
galR	ECK2835
galS	ECK2144
galT	ECK0747
galU	ECK1231
gapA	ECK1777
garD	ECK3116
garK	ECK3112
garL	ECK3114
garP	ECK3115
garR	ECK3113
gatA	ECK2087
gatC	ECK2085
gatD	ECK2084
gatR	ECK2083
gatY	ECK2089
gatZ	ECK2088
gcd	ECK0123
gcl	ECK0500
gcvA	ECK2803
gcvH	ECK2899
gcvP	ECK2898
gcvR	ECK2475
gcvT	ECK2900
gdhA	ECK1759
gfcB	ECK0977
gfcC	ECK0976
gfcD	ECK0975
ggt	ECK3431
ghrB	ECK3540
gidA	ECK3734
gidB	ECK3733
glcA	ECK2969
glcB	ECK2970
glcC	ECK2975
glcD	ECK2974
glcE	ECK2973
glcF	ECK2972
glcG	ECK2971
gldA	ECK3937
glf	ECK2030
glgA	ECK3415
glgB	ECK3418
glgC	ECK3416
glgP	ECK3414
glgS	ECK3038
glgX	ECK3417
glk	ECK2384
glmM	ECK3165
glmS	ECK3722
glmU	ECK3723
glnA	ECK3863
glnB	ECK2550
glnD	ECK0165
glnE	ECK3043
glnG	ECK3861
glnH	ECK0800
glnK	ECK0444
glnL	ECK3862
glnP	ECK0799
glnQ	ECK0798
glnS	ECK0668
gloA	ECK1647
gloB	ECK0212
glpA	ECK2233
glpB	ECK2234
glpC	ECK2235
glpD	ECK3412
glpE	ECK3411
glpF	ECK3919
glpG	ECK3410
glpK	ECK3918
glpQ	ECK2231
glpR	ECK3409
glpT	ECK2232
glpX	ECK3917
gltA	ECK0709
gltB	ECK3202
gltD	ECK3203
gltF	ECK3204
gltI	ECK0648
gltJ	ECK0647
gltK	ECK0646
gltL	ECK0645
gltP	ECK4070
gltS	ECK3643
gltX	ECK2394
glvB	ECK3674
glvC	ECK3675
glvG	ECK3673
glxK	ECK0507
glxR	ECK0502
glyA	ECK2548
glyQ	ECK3548
glyS	ECK3547
gmd	ECK2047
gmhB	ECK0200
gmk	ECK3638
gmm	ECK2045
gmr	ECK1280
gnd	ECK2024
gnsA	ECK0982
gnsB	ECK1544
gntK	ECK3422
gntP	ECK4312
gntR	ECK3423
gntT	ECK3402
gntU	ECK3421
gntX	ECK3400
gntY	ECK3401
gor	ECK3485
gph	ECK3372
gpmA	ECK0744
gpmI	ECK3602
gpp	ECK3771
gpsA	ECK3598
gpt	ECK0239
greA	ECK3170
greB	ECK3393
groL	ECK4137
groS	ECK4136
grpE	ECK2610
grxA	ECK0840
grxB	ECK1049
grxC	ECK3600
grxD	ECK1650
gshA	ECK2683
gshB	ECK2942
gsiA	ECK0819
gsiC	ECK0821
gsiD	ECK0822
gsk	ECK0471
gsp	ECK2982
gspA	ECK3310
gspB	ECK3309
gspC	ECK3311
gspD	ECK3312
gspE	ECK3313
gspF	ECK3314
gspG	ECK3315
gspH	ECK3316
gspI	ECK3317
gspJ	ECK3318
gspK	ECK3319
gspL	ECK3320
gspM	ECK3321
gspO	ECK3322
gst	ECK1631
guaA	ECK2503
guaB	ECK2504
guaD	ECK2879
gudD	ECK2781
gudP	ECK2783
gudX	ECK2782
gutM	ECK2701
gutQ	ECK2703
gyrA	ECK2223
gyrB	ECK3691
hcaB	ECK2538
hcaC	ECK2537
hcaD	ECK2539
hcaE	ECK2535
hcaF	ECK2536
hcaR	ECK2534
hcaT	ECK2533
hchA	ECK1963
hcp	ECK0864
hcr	ECK0863
hda	ECK2492
hdeA	ECK3494
hdeB	ECK3493
hdeD	ECK3495
hdfR	ECK3756
hdhA	ECK1614
helD	ECK0953
hemA	ECK1198
hemB	ECK0366
hemC	ECK3799
hemD	ECK3798
hemE	ECK3989
hemF	ECK2431
hemG	ECK3842
hemH	ECK0469
hemL	ECK0153
hemN	ECK3860
hemX	ECK3797
hemY	ECK3796
hepA	ECK0060
hflC	ECK4171
hflD	ECK1118
hflK	ECK4170
hflX	ECK4169
hfq	ECK4168
hha	ECK0454
hinT	ECK1089
hipA	ECK1500
hipB	ECK1501
hisA	ECK2019
hisB	ECK2017
hisC	ECK2016
hisD	ECK2015
hisF	ECK2020
hisG	ECK2014
hisH	ECK2018
hisI	ECK2021
hisJ	ECK2303
hisM	ECK2301
hisP	ECK2300
hisQ	ECK2302
hisS	ECK2510
hlyE	ECK1170
hmp	ECK2549
hns	ECK1232
hofB	ECK0106
hofC	ECK0105
hofN	ECK3381
hofO	ECK3380
hofP	ECK3379
hofQ	ECK3378
hokA	ECK3544
hokB	ECK1412
hokC	ECK0017
hokD	ECK1556
hokE	ECK0574
holA	ECK0633
holB	ECK1085
holC	ECK4252
holD	ECK4363
holE	ECK1843
hpf	ECK3192
hpt	ECK0124
hrpA	ECK1406
hrpB	ECK0147
hscA	ECK2523
hscB	ECK2524
hscC	ECK0643
hsdM	ECK4339
hsdS	ECK4338
hslJ	ECK1376
hslO	ECK3388
hslR	ECK3387
hslU	ECK3923
hslV	ECK3924
hspQ	ECK0957
hsrA	ECK3748
htpG	ECK0467
htpX	ECK1828
htrE	ECK0138
htrG	ECK3045
htrL	ECK3608
hupA	ECK3992
hupB	ECK0434
hyaA	ECK0963
hyaB	ECK0964
hyaC	ECK0965
hyaD	ECK0966
hyaE	ECK0967
hyaF	ECK0968
hybA	ECK2990
hybB	ECK2989
hybC	ECK2988
hybD	ECK2987
hybE	ECK2986
hybF	ECK2985
hybG	ECK2984
hybO	ECK2991
hycA	ECK2720
hycB	ECK2719
hycC	ECK2718
hycD	ECK2717
hycE	ECK2716
hycF	ECK2715
hycG	ECK2714
hycH	ECK2713
hycI	ECK2712
hydN	ECK2708
hyfA	ECK2477
hyfB	ECK2478
hyfC	ECK2479
hyfD	ECK2480
hyfE	ECK2481
hyfF	ECK2482
hyfG	ECK2483
hyfH	ECK2484
hyfI	ECK2485
hyfJ	ECK2486
hyfR	ECK2487
hyi	ECK0501
hypA	ECK2721
hypB	ECK2722
hypC	ECK2723
hypD	ECK2724
hypE	ECK2725
hypF	ECK2707
hyuA	ECK2869
iaaA	ECK0818
iadA	ECK4319
iap	ECK2748
ibpA	ECK3679
ibpB	ECK3678
icd	ECK1122
iclR	ECK4010
idi	ECK2884
idnD	ECK4260
idnK	ECK4261
idnO	ECK4259
idnR	ECK4257
idnT	ECK4258
ihfA	ECK1710
ihfB	ECK0903
ileS	ECK0027
ilvA	ECK3764
ilvB	ECK3662
ilvC	ECK3766
ilvD	ECK3763
ilvE	ECK3762
ilvG	ECK3760
ilvH	ECK0080
ilvI	ECK0079
ilvL	ECK3759
ilvM	ECK3761
ilvN	ECK3661
ilvY	ECK3765
imp	ECK0055
inaA	ECK2229
infA	ECK0875
infB	ECK3157
infC	ECK1716
insA	ECK0023
insB	ECK0022
insC	ECK0357
insD	ECK0358
insE	ECK0298
insF	ECK0299
insG	ECK4268
insH	ECK0261
insI	ECK0258
insJ	ECK3545
insK	ECK3546
insL	ECK0016
insM	ECK4273
insN	ECK0257
insO	ECK0259
insQ	ECK1426
intA	ECK2618
intB	ECK4264
intE	ECK1126
intF	ECK0280
intG	ECK1934
intQ	ECK1573
